微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J86jXsJW0,【后续来了！杭州#男子变道插队不成撞对方车尾# 私赔1.5万】6月22日，浙江杭州富阳区一辆黑车压导流线插队，被先从左边变道的白车别住，双方发生口角。随后，黑车男子下车抢开白车车门，试图拖拽驾驶员。不料，白车司机踩油门，后者被带倒在地拖行数米。摔倒后，黑车司机又继续驾驶自己车辆冲撞白车车尾，造成车尾损伤变形。所幸，白车车内司机妻子和孩子并无大碍。后在民警调解下，同意私下解决，赔偿1.5万。#男子插队不成反被撂倒# @易视频 http://t.cn/A6LYTgRd ,,无,无,无,2020-06-24 11:52,无,1504,81,289
J80b3cNOG,【中国船员因疫情海上漂流8个月：被公司侵犯利益 但不敢反抗】在远离中国大陆的海面上，还漂着一批未能回国的中国海员，他们被迫超期工作，却不敢对雇佣自己的航运公司提出反抗。一名罗姓船员表示，中国船员不同于外国船员，如果有人敢反抗船运公司，下场就是这个人永远被公司拉入黑名单，以后基本上很难混。“一旦船上曝出什么负面新闻，公司第一时间不是搞清问题，而是调查谁捅出去的，动用一切资源和手段把这个人找出来，导致大家胆子都很小。” http://t.cn/A6LY0oFi ,,无,无,无,2020-06-23 20:14,微博 weibo.com,141,31,37
J7Y45z7n3,【被劫持的美的创始人：#千亿身家富豪何享健发家史#】前不久，佛山顺德的一场绑架案传遍了网络，让很多人第一次听说何享健这个名字。这位低调的隐形富豪是美的背后的男人，坐拥千亿身家，家里光是控股的上市公司就达到了7家。本期视频，我们就来聊一聊这位隐形富豪的发家史以及二代背后的资本故事。 （ @网易财经 ）http://t.cn/A6LjyKvi ,,无,无,无,2020-06-23 14:51,财经 · 视频社区,15,12,9
J7O0xb3wB,#黄子韬新歌冰激凌##黄子韬吃冰激凌跳冰激凌舞# 夏天真的和冰激凌好配哦！@YKYBtao-黄子韬 这首新歌《冰激凌》今天上线，清凉正当时，他本人还亲自跳了冰激凌舞。歌曲里满满的都是黄子韬寄托在“冰激凌”上的内心独白，曲调高低转合，加上定制的海盐味海报，坏心情都一扫而光了，赶紧都听起来吧！  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/75b52ed2ly1gg0zraqegwj20rs0rswli.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gg0zrbgd7dj244n2r3nm6.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gg0zrc9c7wj22r344n7p2.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gg0zremmfyj23402c0x6z.jpg",无,无,2020-06-22 13:15,黄子韬超话,32,3,6
J7NsCrFWP,#周星驰经典台词大赏#——不上班行不行？——不上班你养我吗？——我养你啊！星爷的这部《喜剧之王》实在是经典中的经典！分享下你心中那句星爷经典台词吧️ #622周星驰生日快乐# 最动人的情话！周星驰说完这句话，下一秒张柏芝哭成泪人  ,,无,无,无,2020-06-22 11:51,微博 weibo.com,30,13,17
J7N97jpwd,【#毕业班27名男生圆唯一女生公主梦#穿西装接女孩下楼】6月19日，西安航空职业技术学院 一毕业班，全班28人只有小雍是女生。因为往届有班里唯一女生毕业时被男生团宠拍照的，雍同学随口说了句希望自己也能这样，没想到今年毕业时班里男生真的为她准备了一场盛大的毕业仪式，为她准备了婚纱，全班男生身穿西装在宿舍楼下列队接她下楼去拍毕业照。雍同学说自己大学期间一直被同学保护，曾有外班男生找她要微信，班上男生冒火出来阻拦称：班里就一个女娃，没有人能从他们手中要走微信。 #班里唯一女生穿婚纱毕业# （来源@易视频） http://t.cn/A6LCn8ic ,,无,无,无,2020-06-22 11:03,无,44,3,21
J7MpNxy7Q,【#河南某校收生活费1500只退500# 强迫家长签字：不签字孩子全部领走！】6月20日，河南省开封市杞县苏木乡社区中心小校就疫情期间需要退回的费用问题与家长引起纠纷。据学生家长称：学校收费时收取了1500元生活费，但家长退费的时候，学校硬说是1000元，折后就退给家长500元，家长们不接受。据该校学生家长反应：学校不仅抹去了学生所交的生活费的三分之一，而且态度十分恶劣，学生家长要求按标准退费。视频显示，校方两位负责人要求家长签字承认缴费1000元的事实，否则就将各自孩子领走。目前，当地部门还未回复。 （来源@易视频） http://t.cn/A6LCtihV ,,无,无,无,2020-06-22 09:12,无,151,28,59
J7H712ubC,#爸气行为大赏# 今天父亲节，大家一起聊聊，你爸曾有哪些神级操作或惊人语录？  原图 ,,http://wx2.sinaimg.cn/large/75b52ed2ly1gg057zr26vj20p40catdc.jpg,无,无,2020-06-21 19:42,无,9,0,7
J7GFUwDac,【天庭神仙视角？#乘客坐飞机拍到罕见日环食#】一场十年以来最佳的“金边”日环食超级天象于2020年6月21日13时10分至17时30分天宇上演，覆盖中国全境。有网友晒出视频，称乘客坐飞机时，拍到了罕见的日环食。据悉，此次日环食环食带从我国西部西藏地区开始，宽度只有20公里左右，最宽不超过50公里。#乘客坐飞机拍到日环食# （来源@易视频） http://t.cn/A6LNzbky ,,无,无,无,2020-06-21 18:35,无,37,13,13
J7DiO62Gy,#爸气行为大赏# “坑爹”与“被爹坑”的故事仍在不断上演，许多“爸”气外露的事迹，也都传为佳话。正如鲁迅（没）说过的：爸爸的套路和感情一样深，老爸终究还是“老霸”。父亲节之际，我们准备了几则漫画故事，建议坐下来和爸爸一起看！带话题#爸气行为大赏#转发本条微博，我们将于6月23日抽3名粉丝，送出【网易味央端午礼盒】，送给爸爸一起乐享端午吧！ [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/75b52ed2gy1gfz00sou3gj20n02o2npd.jpg,http://ww4.sinaimg.cn/large/75b52ed2gy1gfz00y6xxlj20n02o2b29.jpg,http://ww4.sinaimg.cn/large/75b52ed2gy1gfz011mcipj20n02o2hdt.jpg,http://ww1.sinaimg.cn/large/75b52ed2gy1gfz013r2izj20n02o2hdt.jpg",无,无,2020-06-21 10:00,微博 weibo.com,68,1306,160
