微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J3Sutapnr,【不满14岁犯罪不担刑责，合理吗？】在网易新闻联合新华社推出的《2020我有话说》话题互动H5中，“降低未成年人刑事责任年龄起点”受到很多关注。人大代表肖胜方说，14周岁以下未成年人无论实施什么行为都不构成犯罪，这从1979年沿用至今。但现代未成年人心智更成熟，所以建议将刑事责任年龄起点下调到13岁。你认同么？http://t.cn/A62I8l2T http://t.cn/A62IYBnO ,,无,无,无,2020-05-27 17:18,微博 weibo.com,104,7,49
J3Su1kJJP,【出生人口连续三年下降，超生罚款还该不该收？】根据国家统计局公布的数据，2019年全国出生人口比2018年减少58万人。出生人口已经连续三年下降，超生罚款为什么还在收？在网易新闻联合新华社推出的《2020我有话说》全民话题互动H5中，“取消对超生的处罚”这个话题稳居榜单第一名。针对处罚超生，你怎么看？http://t.cn/A62IYuUB ,,无,无,无,2020-05-27 17:17,微博 weibo.com,115,9,63
J3Q8EcxnP,【广西拆迁户领到8套房直呼住不完：收租的感觉蛮好】5月25日，广西南宁邕宁区发放首批全产权农民拆迁安置房不动产权证。其中一村民称，自己有8套房，住不完，一半出租一半自己住，一个月房租收入一万多元，“收租的感觉蛮好”。共有两千多户拆迁安置户拿到不动产权证。http://t.cn/A62VD2mA http://t.cn/A62IPEhT ,,无,无,无,2020-05-27 11:19,微博 weibo.com,148,13,74
J3Q5M5f0I,【#代表委员呼吁共同治理饭圈乱象#】#2020看两会#多位代表委员关注到“饭圈文化”存在的一些乱象，呼吁理性追星。张颐武委员表示，青少年追星有一定积极意义，但要遵守3个原则：①不能因追星影响正常生活；②不能对其他群体造成伤害；③不能造成违反公序良俗的事端。（中青报）代表委员呼吁社会共同治理“饭圈”乱象  原图 ,,http://wx4.sinaimg.cn/large/75b52ed2ly1gf6u3ln72vj209605ijrq.jpg,无,无,2020-05-27 11:12,微博 weibo.com,38,8,14
J3LiurW1A,#深夜饭馆#【糖醋里脊鸡肉版】猪肉那么贵，不如用鸡胸肉这样做糖醋里脊，真的特别好吃！天天美食推荐的微博视频  ,,无,无,无,2020-05-26 23:00,微博 weibo.com,81,52,14
J3KUO9fBA,【奔驰女车主代言被诉，校方：她签约第二天就要求涨价】西安奔驰女车主薛女士，此前因多次维权无果坐在车引擎盖上哭诉，一度成为公众关注的话题人物。事发后，西安一家技校邀请薛女士以直播形式帮助招生宣传。校方称薛女士签完协议后未履行合约，以“违约”为由将她告上法庭，索赔360余万；而薛春艳也以“虚假宣传、欺诈”为由反诉对方，索赔200余万。面对《圆心》，校方称薛女士想将百万年薪改成三个月百万，薛女士表示现在进入庭审环节，不希望舆论影响庭审判决，等庭审结果出来，再详细地做一个案件回顾。更多>> http://t.cn/A62V1qCJ ,,无,无,无,2020-05-26 22:01,微博 weibo.com,234,25,23
J3JRDxi71,【天生站得不够高：我们的努力还有用吗？】阶级固化不仅带来教育资源的不均、眼界思维的局限、社会资本的天差地别……它还暗示着，出身贫寒者，恐怕要伪装成另一种人，才能完成“向上流动”。  网易新闻客户端的微博视频  ,,无,无,无,2020-05-26 19:21,微博视频,60,27,18
J3HDY424C,【港媒：港澳知名爱国企业家何鸿燊逝世 享年98岁】据香港“东网”报道，当地时间5月26日，港澳知名爱国企业家、第9届至第11届全国政协常委何鸿燊逝世，享年98岁。何鸿燊于1921年11月25日在香港出生，祖籍广东。他家庭背景显赫，是香港商人何东爵士的侄孙。其旗下的主要企业包括：澳门博彩控股有限公司、香港新濠国际集团、香港信德集团有限公司、澳门国际机场专营公司、澳门诚兴银行等。何鸿燊是澳门举足轻重的人物，曾任第9至11届全国政协常委，曾参与见证中英、中葡谈判及香港、澳门回归祖国。他生前积极参与对祖国内地的经济建设，文化慈善等事业，为澳门的发展做出了突出贡献。http://t.cn/A62cgieO 原图 ,,http://wx3.sinaimg.cn/large/75b52ed2ly1gf5ssvy3nmj20fd0fdglo.jpg,无,无,2020-05-26 13:41,无,61,5,36
J3HAvePws,【司机下水救人遇难：留下妻儿五个 还有一瘫痪老人】5月22日广州暴雨袭城，货柜车司机郑义遇见一名路人落水，不顾危险跳下水救人，落水者很快被救上来，郑义却不幸遇难。妻子认为，郑义的死亡是完全可以避免的，“如果没有那么深的积水，我老公也不会出事”。她表示，全家的收入来源就靠郑义一个人在外地开货柜车，她在老家带着四个孩子生活，大女儿马上准备高考，最小的孩子才两岁。她也不知道该如何向公公交代，“瘫痪在养老院，一个月要几千块钱的护理费，我都不敢让他知道，怕他接受不了白发人送黑发人的打击。”http://t.cn/A62cdglf [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/75b52ed2ly1gf5sjzf74sj20f408i40o.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gf5sjzkhm7j20ju0b6ak0.jpg",无,无,2020-05-26 13:33,微博 weibo.com,137,10,29
J3GrL9d94,【全国政协委员许洪玲：#建议父母持合格父母证上岗#】全国政协委员、南开区政协副主席许洪玲建议，在社区举办家长课堂，建立“家长教育指导工作室”，面向适龄儿童家长，聘请第三方或者有教育经验的志愿者作为老师。针对准备入小学的家长开展相关课程教育，颁发“合格父母”上岗证随学生档案入学。在校内建设“家长学校”。探索“家长教育”之路的建设，特别是针对有问题倾向的学生家长，建立一对一的授课方案，有针对性的解决实际问题。以定期讲座、案例分析、现场模拟等形式授课，在监护人群中树立正确家庭教育观念。加强对“准父母”的教育培训。从准备上岗的准父母抓起，让准妈妈们和准爸爸们有充分的“生”和“育”并重的思想准备。“备育学院”培训内容可以结合“备育”特殊阶段，增加孕期和产后抑郁和焦虑症的预防和康复、妈妈身心健康、婴幼儿保健知识、预防接种疫苗常识和婴幼儿心理学等。加大财政投入和宣传力度。建议编制家庭教育指导性文件，将家庭教育工作经费列入财政预算，不断加大对家庭教育指导工作的投入保障力度。建立完善中小学、幼儿园家庭教育指导工作经费保障机制，以政府投入为主，多渠道筹措经费，支持家庭教育指导工作健康持续发展。http://t.cn/A62caP35 原图 ,,http://wx1.sinaimg.cn/large/75b52ed2ly1gf5ninhurtj20u00u016a.jpg,无,无,2020-05-26 10:39,无,128,9,45
J3BRZA1Wy,#深夜饭馆#【可乐鸡翅煲】不加一滴水，汤汁鲜美，做法简单，好吃到哭，美食get√ 美食和旅行的微博视频  ,,无,无,无,2020-05-25 23:00,微博 weibo.com,48,45,14
J3yLSDSrN,【武汉10天检测1000多万人，这事儿是怎么办到的？】有市民质疑，工作人员把20个人的样本放在一个瓶子里，敷衍了事。其实，这里涉及“分组检测”的办法。如果你自信数学成绩不错，请放心点开前方视频~  网易新闻客户端的微博视频  ,,无,无,无,2020-05-25 15:06,微博视频,83,25,55
J3yBOcvO4,【#人大代表建议整顿饭圈文化#，引导明星做正能量偶像】十三届全国人大三次会议山东代表团23日举行小组会议。全国人大代表、山东省泰安市泰山文化产业中等专业学校副校长宋文新在发言中重点提到“饭圈文化”，建议对娱乐界的不良风气进行整顿，引导演艺明星成为“正能量偶像”，担负起引导未成年人主流价值观的社会责任。http://t.cn/A62GvPL5 ,,无,无,无,2020-05-25 14:41,微博 weibo.com,309,27,62
J3ynDbzwA,【最高法副院长谈离婚冷静期:希望慎重行使离婚权利】全国政协委员、最高法院副院长李少平回应了近期热议的#离婚冷静期#问题。他说，对于每个人而言，离婚自由是法律赋予的权利，这没有问题，但是如果离婚太多太随意，在某种程度上也会给家庭和社会带来一定的不利影响和后果。要当事人慎重地行使自己的离婚权利，在考虑成熟后再行使权利，这是设立冷静期的出发点。http://t.cn/A62qyFF2 http://t.cn/A62tA8qJ ,,无,无,无,2020-05-25 14:06,微博 weibo.com,169,15,41
J3ymYogCt,【女子搬小区花樽健身被砸骨折 起诉物业索赔33万元】业主吴女士将小区内的花樽当作健身器材“花式健身”，未料花樽脱落导致其受伤，被送往医院治疗。出院后，吴女士对自己的伤情进行鉴定，被评定为伤残等级八级。事后她将物业公司告上法院，要求赔偿33万余元。法院审理查明，此是由吴女士自身过错造成的损害，一审判决驳回了原告吴女士的全部诉讼请求。http://t.cn/A62tA08x http://t.cn/A62wAxi1 ,,无,无,无,2020-05-25 14:05,微博 weibo.com,241,21,48
J3iJnsOzO,【#电动车撞上大货车致1人死亡#， 死者家属殴打货车司机】5月21日，广东肇庆三榕港码头对开马路，往肇庆方向路段发生交通事故——载人的电动车撞上掉头的大货车，导致一人身亡。死者家属来到现场之后无法控制自己的情绪，追着蓝色衣服的货车司机殴打。最后交警为了保护货车司机，让他上警车避一避，但是激动的家属仍然要开门打他。看完视频后，大家觉得事故责任主要在哪一方? (来源@网易新闻视频版 ) http://t.cn/A62L7BZE ,,无,无,无,2020-05-23 22:16,无,2061,77,493
J3gTod9sD,【教师要求#浪费一粒米就多做一道题#，学生：当场崩溃】5月22日，湖南怀化市宏宇中学的光盘行动火了：“浪费一粒米，多做一道选择题；浪费一道菜，多做一道大题。” 学生：啊！直接当场崩溃据了解，该视频的拍摄者是兰老师，因班上同学就餐之后会剩下许多食物，所以选择#浪费一粒米多做一道题# 的办法。刘同学起身去倒剩饭菜时，刚好被兰老师拦下，然后录制了这个视频，并表示如果班上同学有人违反，将按规则严格执行。网友们则打趣：不是我学霸不喜欢吃饭，只是我喜欢做题  (来源：@易视频V ) http://t.cn/A62biDe0 ,,无,无,无,2020-05-23 17:35,无,87,1,26
J39AvjuPf,#深夜饭馆#【把子肉】一道口感和味道完全不亚于红烧肉的美味，做法其实很简单~8月饭票的微博视频  ,,无,无,无,2020-05-22 23:00,微博 weibo.com,83,35,25
J37ONsyVC,【人大代表潘向黎：结合防疫需要等，建议春节假期延长为15天】全国人大代表、民进上海市委副主委、上海市作家协会副主席潘向黎对春节假期延长的话题表示关注。她提出，结合现实情况、传统风俗、国民诉求和防疫需要，建议延长春节假期到15天。提出上述建议的主要理由包括：解决长期存在的春运压力、让所有人安心从容地过年、保护春节文化记忆的厚度和温度、促进消费、让空巢老人感情需求和心理需求得到更好满足、让留守儿童和父母有更多的团聚时间等。http://t.cn/A62UXOaI 原图 ,,http://wx1.sinaimg.cn/large/75b52ed2ly1gf1en38ifzj20dk07ujre.jpg,无,无,2020-05-22 18:29,无,52,4,21
J34AprmUE,【#1岁女童掉入热锅全身85%烫伤# 住院50天6次大出血】5月21日，陕西西安拍客提供消息：4月9日5点左右，胡女士1岁半的孩子不小心掉进开水锅里，当场休克，情况十分危急，家长立即送往县医院，病情太重不收，几经波折，入住西安市儿童医院。期间烫伤引起6次大出血，医生全力抢救，现在病情逐渐平稳，目前在医院天天打营养，消炎，止血，后期疤痕可能还需要植皮。目前住院有50天了，花费了30万，大多是借来的，一家六口只靠孩子父亲在工地打工，一年只挣一万到两万多，后续的治疗还得花费10万多。 看着就很疼，小朋友的安全请家长一定要注意!（来源@易视频V ）http://t.cn/A62LpIV3 ,,无,无,无,2020-05-22 10:16,无,36,1,29
J30a0tpHR,#深夜饭馆#【炸鸡排】鸡排这样做，脆嫩多汁，小朋友们特别爱吃。 每日家常菜的微博视频  ,,无,无,无,2020-05-21 23:00,微博 weibo.com,58,38,14
J2XNSalaj,【谈论性别暴力时，请用施害者作主语】听到“性别”这个词，你的第一反应是否是“女性”？听到“性别暴力问题”，是否想到“女性问题”？针对性暴力的讨论里，为什么男性反而脱身了？改变你的句子结构，把施害者抓回来。  网易新闻客户端的微博视频  ,,无,无,无,2020-05-21 17:00,微博视频,30,5,8
J2Va8vIyX,【两会今日看点：政协会议开幕 人大会议举行发布会】今日下午3时，全国政协十三届三次会议将在人民大会堂开幕，2020全国两会正式开启。大会的主要议程是听取并审议全国政协常委会工作报告和提案工作情况报告；列席十三届全国人大三次会议，听取并讨论政府工作报告、民法典草案、最高人民法院工作报告、最高人民检察院工作报告等；审议通过政协十三届三次会议政治决议等决议和报告。值得注意的是，本次大会期间，全体会议和小组会议都做了相应的压减。http://t.cn/A62ApBML 原图 ,,http://wx2.sinaimg.cn/large/75b52ed2ly1gezurp2v9hj20m81gsn0w.jpg,无,无,2020-05-21 10:16,无,12,8,11
J2QJvAMcx,#深夜饭馆#【广式酱焖牛腩】深夜来放毒啦教你牛腩的家庭简单做法，酱香浓郁味道足，软烂鲜香好吃不腻~看饿了不？夏妈厨房的微博视频  ,,无,无,无,2020-05-20 23:00,烹饪教程 · 视频社区,126,110,11
J2OZGtASL,【#六旬新人恋爱4年520再婚# ：赶个时髦】5月20日，江苏淮安，淮安区民政局婚姻登记中心排起了长队，队伍中的一对大龄新人吸引了众人目光。叔叔65岁，上次登记结婚还是1983年，阿姨62岁，上一次登记结婚是1982年。他们相恋4年，感情一直很好，今天是520，也来赶个时髦登记结婚。阿姨说：“到了这个年龄，能找到一个合适的，互相搀扶到老的，我爱他他爱我的，不容易。”#20205201314# #520民政局爆满# @易视频Vhttp://t.cn/A62wtDtC ,,无,无,无,2020-05-20 18:34,微博 weibo.com,40,1,9
J2NYHbTPq,【玛莎拉蒂案死者家属未收到赔偿 丈夫仍未下葬】河南醉驾玛莎拉蒂撞宝马案至今仍未宣判。肇事者方面向媒体表示，已赔付3名受害方457万，死者葛某某妻子否认这一说法，称受害的三家人都没见过这个钱。目前丈夫遗体仍未下葬，家里老人还不知情，自己每晚靠安眠药入睡。一手video的秒拍视频  ,,无,无,无,2020-05-20 15:59,微博 weibo.com,119,19,46
J2NhOlOvj,【3名中国男子在缅甸杀同胞获死刑当场枪决 视频曝光】5月3日，缅甸发生一起抢劫杀人案，3名中国籍男子对当地一家名为“中国珠宝”的店铺实施抢劫后，将中国福建籍店主叶某残忍杀害，并将店内大量黄金首饰抢走。5月19日，一段缅甸佤邦对3人进行公审的新闻视频流传并引发热议。记者证实，3名中国籍罪犯经过当地司法审判，已于5月14日被执行死刑。http://t.cn/A62vbhf2 http://t.cn/A62zLtsW ,,无,无,无,2020-05-20 14:13,微博 weibo.com,334,42,104
J2M1gkX6t,#医院里的520#带上口罩，他们是逆行冲锋在前的白衣天使；摘下口罩，他们仍是那个青春洋溢的少年。在520这个特殊的日子里，@网易新闻客户端 联合@珍爱网 走进@北京同仁医院 ，来到这群年轻医护工作者身边，通过我们的镜头，展现抗“疫”英雄青春、阳光的一面，听听他们的脱单心声，为这群勇敢而优秀的年轻人“站台”、打call！愿她们勇敢去爱，做自己的英雄！http://t.cn/A627S6r1 ,,无,无,无,2020-05-20 11:00,微博 weibo.com,10866,1098,45
J2LCUDeAe,网易新闻联合网易跟帖、网易圈子发起#你知道的土味情话#有奖话题征集，我们从互动中精选了9位用户的优秀内容，快来看看别人的#土味情话#是什么样的！另外，5月20日11点我们将在@网易新闻客户端 全网首发#医院里的520#原创视频短片，和我们一起听听年轻医护工作者的脱单心声，不要错过哦~  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/75b52ed2ly1gexqy97z8pj20u00xwjwj.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gexqy95kcxj20u00xwq8v.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gexqy92hwej20u00xwn31.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gexqy98c0pj20u00xw43s.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gexqy9dh63j20u00xw0xp.jpg,http://ww3.sinaimg.cn/large/75b52ed2ly1gexqy9ditqj20u00xw43j.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gexqy8y6rpj20u00xwq9e.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gexqy8ympzj20u00xwgr4.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1geyzmylvojj20u00xw7ae.jpg",无,无,2020-05-20 10:00,微博 weibo.com,10,2,4
J2LAZ1QMZ,【玛莎拉蒂案死者母亲思儿过度离世 儿媳:12天没吃喝】2019年7月3日，河南永城玛莎拉蒂追尾宝马车事故致2人死亡、4人重伤，贾某是其中一名死者。2020年5月19日，贾某妻子称，婆婆于开庭审理12天离世，一直挂念孩子，虽然家里人一直瞒着90多岁的老人，但老人庭审后就不吃不喝。 一手video的秒拍视频  ,,无,无,无,2020-05-20 09:55,无,73,10,22
J2LxbtT5n,【罗志祥发6000字长文回顾恋爱过程 配多图再次道歉】5月20日早间，罗志祥在微博发布名为《男孩 女孩》的长文，全文长达6700多字，用20篇日记详细回顾与周扬青九年从相识到相恋的过程，分享了许多两人恋爱期间的故事，还晒出多张从未曝光的合影。罗志祥表示，最近这段日子是自己近年来最长的独处时间，不断反省自己之后回想这九年来的点滴，觉得是自己的不完美破坏了周扬青的原则。据罗志祥透露，这20篇日记的前19篇都发给了周扬青，最后一篇选择用公开的形式发出来，并再次向周扬青道歉。 http://t.cn/A62Za3dG 原图 ,,http://wx2.sinaimg.cn/large/75b52ed2ly1geyo9fy9xij20qg1bewhs.jpg,无,无,2020-05-20 09:45,无,83,4,34
J2Hj17K7t,#深夜饭馆#【传统老式冰棍】6款口味清凉冰爽，家庭做法简单易学，喜欢的马住~ 夏妈厨房的微博视频  ,,无,无,无,2020-05-19 23:00,烹饪教程 · 视频社区,68,82,10
J2EUYeRWM,【最高法：未成年人网络打赏无效 款项可以退还】最高人民法院出台相关意见明确，限制民事行为能力人未经其监护人同意，参与网络付费游戏或者网络直播平台“打赏”等方式支出与其年龄、智力不相适应的款项，监护人请求网络服务提供者返还该款项的，人民法院应予支持。最高法有关负责人介绍，未成年人通过充值、“打赏”等方式支出的款项，如果与其年龄、智力不相适应，则该付款行为属于效力待定的行为，需要经法定代理人同意或者追认后才能发生效力，如果法定代理人不同意或不予追认，则该行为无效。http://t.cn/A627DFiv 原图 ,,http://wx2.sinaimg.cn/large/75b52ed2ly1gexv0utj9uj20dw0aswf8.jpg,无,无,2020-05-19 16:55,微博 weibo.com,193,24,37
J2EjT31dr,【女孩送前任一吨洋葱:该你哭了 男方转手卖了1000多】山东淄博，一女孩声称因男友出轨被分手，从网上购买了一吨洋葱，赶在520前送到前男友的家，并留下纸条“分手后，我哭了三天，这下该你哭了”。记者电话联系女孩前男友，对方表示没有剥开这些洋葱，也没有哭，而是转手卖了1000多块。他说，这位前女友喜欢“作”，“已经分手一年多了，她之前发现我手机里跟一些女性朋友聊天，就小心眼，闹分手。”http://t.cn/A627mgW7 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/75b52ed2ly1gexsess52wj20fe0bjtl6.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gexsess0p2j20fe0bj10t.jpg",无,无,2020-05-19 15:23,微博 weibo.com,281,95,40
J2CZcazUY,医院里的520  网易新闻客户端的微博视频  ,,无,无,无,2020-05-19 12:00,微博视频,1,0,0
J2CMX50bU,"【翼装飞行女生曾称""为自己而活不后悔"" 好友发文悼念】95后女生安安在张家界天门山翼装飞行失联，救援队发现时已无生命体征。据悉，安安是一名95后女生，性格活泼，热爱生活，去过国内外多个城市，喜欢极限运动。她曾发布视频，讲述作为一名运动爱好者的极限历程，乐观表示“我为自己而活，我不后悔我的选择，我会坚持我选择的路”。多位安安的好友发文悼念，“中国翼装极限跳伞第一人”徐凯也对安安的离去表示惋惜，称“请大家让安安，静静地离开”。http://t.cn/A627vMEy [组图共3张] 原图 ",,"http://ww4.sinaimg.cn/large/75b52ed2ly1gexlngjy3mj20f00etabo.jpg,http://ww3.sinaimg.cn/large/75b52ed2ly1gexlngjo4mj20f009vaai.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1gexlnglz7aj20f00a4wey.jpg",无,无,2020-05-19 11:30,微博 weibo.com,732,40,250
J2Cv0vsjW,【#张文宏说天热可以开空调戴口罩#】天气越来越热，到底能不能开空调？张文宏医生在昨晚的一场直播中表示，中国疫情防控做得很好，人们都戴口罩的情况下传染新冠病毒的概率很小。他表示，天热的时候，可以开空调戴口罩。人民日报的微博视频  ,,无,无,无,2020-05-19 10:45,无,13,5,4
J2vZa2O6q,【#9岁男孩摆摊卖价值万元动漫卡#，曾一次性卖600多元】5月16日，河南商丘市睢阳区某广场夜市，一名9岁男孩摆摊叫卖自己收藏的动漫卡片，引来许小孩围观购买。据9岁娃介绍，自己收藏了很多动漫卡，用于观赏或与别人交换买卖，收藏的卡价值一万余元，自己的兴趣全在动漫卡片上，从来不玩手机。网友：这届“10后” 了不得！@易视频V http://t.cn/A62Pka3j ,,无,无,无,2020-05-18 18:10,无,40,1,18
J2vMrFJHb,【幼儿园卖烧烤自救生意火爆:营业3天后停止 准备开学】山东济南一家幼儿园卖烧烤走红网络。受疫情影响，这家幼儿园暂时不能复学，临时转行做起了餐饮，早上卖早餐，晚上销售烧烤和小龙虾。园长说，从5月12日开始做了3天，挺受周围居民欢迎，最多的一天营业额达到9000元。5月17日，园长告诉记者，餐饮已经不做了，初步计划6月8日开学，之前卖烧烤只是想“自救”。http://t.cn/A62PkA0X [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/75b52ed2ly1gewqpnfkcfj20ld0fxdie.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1gewqpncupaj20ku0cmjsu.jpg",无,无,2020-05-18 17:39,微博 weibo.com,42,1,16
J2tSZwItg,【#吉林舒兰女子强行闯卡遛狗撒泼#：你能干一辈子志愿者吗？】5月17日，吉林省舒兰市吉舒镇，一女子在疫情之下出门遛狗，被工作人员拦住，该女子拒不听劝，也不测量体温，双手环抱怒怼工作人员，叫嚣“你干这个能干一辈子吗？”随后抢夺录制视频的志愿者的手机。#吉林疫情# @易视频V http://t.cn/A62P6p2g ,,无,无,无,2020-05-18 12:50,无,54,8,34
J2t8wcbof,【太极掌门人遭搏击爱好者KO 30秒被打倒3次】5月17日，68岁的浑元形意太极拳掌门人马保国与50岁的搏击爱好者王庆民进行擂台战PK，结果在30秒内被打倒3次，最后一次倒地后长时间没有起来，比赛就此结束。马保国前不久约战张伟丽，还叫嚣与UFC冠军连续大战3分钟不喘。马保国还曾表示自己是有真功夫的，“我在英国打了5年，在英国是不能造假的，你不能打，输上一次，你在那饭碗就砸了。”http://t.cn/A6ZCW1gj http://t.cn/A62vkzW7 ,,无,无,无,2020-05-18 10:55,无,440,83,193
J2kTupii1,【男子借用民政局厕所被拒后不满：这儿是纳税人造的】5月15日，网曝北京一男子借用丰台区民政局厕所被拒。针对工作人员关于“厕所供内部使用”的说法，男子十分不满：“你们是服务机构，这儿的一砖一瓦都是纳税人创造的，但我们想上个厕所都这么难。”丰台区民政局通报称，保安人员没有执行“疫情期间社会公众经测量体温正常后即可进入办公楼使用公共设施”，三名妇幼保健婚检宣传员是该局协作单位员工，对其也没有明确告知，对给当事人造成的不便深表歉意。http://t.cn/A6ZCW1gj http://t.cn/A6ADDeL8 ,,无,无,无,2020-05-17 13:56,无,552,40,119
J25B223ot,#深夜饭馆#【水煮肉片】教你做一道川菜经典“水煮肉片”，以瘦肉为主料，搭配一些辣的辅料，太香了吧！懒饭App的微博视频  ,,无,无,无,2020-05-15 23:00,烹饪教程 · 视频社区,28,28,4
J259Af1n0,【固体饮料疑冒充奶粉 家长：孩子不爱喝，店家欺骗说正常现象】近日，湖南郴州市永兴县多名家长发现自己孩子身体出现湿疹，体重严重下降，头骨畸形，还有不停拍头等异常情况。经媒体调查发现，这些孩子都食用了一款名为“倍氨敏”的“特医奶粉”。实际上，这款“奶粉”是一种固体饮料，并不具有特医奶粉资质。多位家长反应在购买时被店员误导此款产品是奶粉。 5月13日，湖南郴州永兴县针对此次事件成立专班调查。国家市场监管总局也发布消息称，责成湖南省市场监管部门对涉事商家进行彻查，依法从严从重处罚。向女士称在涉事的“爱婴坊”母婴店购买过14罐“倍氨敏”产品，她称孩子曾食用过半年，现在检查还是缺乏维生素D，而且头比普通宝宝的要大，很害怕会有后遗症。更多>> http://t.cn/A6AepWJu ,,无,无,无,2020-05-15 21:52,微博 weibo.com,64,6,44
J23FSnP4d,【#贵州女童被继父连砍4刀# ，生父发声：三分之二颈椎被砍断】5月4号，因为母亲与继父吵架，贵州女童莹莹被继父砍伤。身中四刀的她受伤住进遵义医学院，在重症监护室呆了整整7天，病情危重。“娃娃一共挨了4刀，脖子、右手、脚上都挨了刀，其中脖子上的伤最严重，三分之二的颈椎已经被砍断，神经这些都断了。”莹莹的主治医生告诉生父杨再洪，虽然莹莹的病情稍微稳定了，但孩子面临高位截瘫，“以后都可能无法行走，需要使用轮椅。”莹莹的母亲何女士也因被现任丈夫陈某砍伤，在医院接受治疗。目前贵州当地警方已经对陈某采取了强制措施，具体案情警方正在做进一步调查。#女童被继父连砍4刀确诊高位截瘫#（来源@易视频V )http://t.cn/A6Agd3A3 ,,无,无,无,2020-05-15 18:06,无,109,20,46
J20QsvKlw,【虎门大桥恢复交通 大桥管理方已采取抑振措施】广东省交通集团发布消息，5月15日9时，虎门大桥恢复交通。5月5日下午，虎门大桥悬索桥发生明显竖向弯曲振动现象，大桥管理方联合交警部门采取双向交通管制措施。根据研究成果和专家组建议，大桥管理方采取抑振措施，大桥悬索桥整体情况平稳。5月13日晚，特邀专家组认为，虎门大桥悬索桥结构安全，同意恢复交通运营。http://t.cn/A6ZCW1gj http://t.cn/A6Ag7ngM  ,,无,无,无,2020-05-15 10:54,无,32,1,17
J1WaxtzXj,#深夜饭馆#【酱香大棒骨】软烂脱骨的酱香大棒骨，肉嫩多汁，肥而不腻，你们一定要试试！ 舌尖上的中国_的微博视频  ,,无,无,无,2020-05-14 23:00,微博 weibo.com,92,80,16
J1VUioff8,#深夜尬聊# 一人分享一句土味情话吧  原图 ,,http://wx2.sinaimg.cn/large/75b52ed2ly1geqyorats5j20yi0laaax.jpg,无,无,2020-05-14 22:20,微博 weibo.com,39,4,13
J1U0ADfO0,面对未知，方知日常生活的小确幸。心中有光，乐观从容应对生活，步履向光，大胆轻快迈向生活。网易新闻加入#Light The Light 光援行动#！与@网易云音乐 和你一起携手点亮世界，传递希望！ 网易新闻客户端的微博视频  ,,无,无,无,2020-05-14 17:30,微博 weibo.com,133,53,73
J1THK02yG,【#郑州富士康掀起离职潮#，不加班的工资只有两三千块熬不住】13日，郑州经开区富士康厂区，一名女子带着行李准备离职，称“不干了，工资就两千多块，在外面随便找个啥工作都有两三千。”据厂区内小卖部老板娘说，近期打工人员确实少多了，生意惨淡。厂区保安表示因为受疫情影响，订单和原材料到不了位，富士康工人不能加班，导致工资太低，很多人熬不住，就选择了离开另谋出路。@易视频V #富士康因不加班工资低掀离职潮# 大家怎么看？http://t.cn/A6Ar45tZ ,,无,无,无,2020-05-14 16:43,微博 weibo.com,73,6,42
J1T386NRZ,#中国3分钟#【网购、直播、买买买：中国消费热情重新释放】随着本土疫情逐步得到有效控制，从二季度开始，中国民众在多种多样的商家补贴、促销活动的刺激下，开启了“买买买”模式。本期《中国3分钟》聚焦中国政府与企业为刺激消费而举行的丰富的购物节促销活动，并关注直播带货等新兴消费形式的热潮。http://t.cn/A6Ar2UAr ,,无,无,无,2020-05-14 15:03,微博 weibo.com,19,2,5
J1SVowMT8,"【九旬老人被列为""村霸""多半年后 检方决定不起诉】2019年7月，91岁的陈迎先和81岁的范沛荣被江苏邳州警方列为“村霸”，引发高度关注。近日，陈迎先的儿子陈广礼告诉记者，其和父母三人收到了邳州市检察院作出的不起诉决定书，他们不打算申诉。检方决定不起诉的原因是“认罪态度好”，不起诉决定书载明，陈广礼指使陈迎先、范沛荣实施的违法行为系共同犯罪，但其到案后一直认罪悔过、赔礼道歉，自愿认罪认罚，认为陈广礼可能判处免刑，故依法决定不起诉。http://t.cn/A6A1U0EZ [组图共3张] 原图 ",,"http://ww3.sinaimg.cn/large/75b52ed2ly1gerz6855t3j20j00hyh0k.jpg,http://ww3.sinaimg.cn/large/75b52ed2ly1gerz684oe1j20ku0d3106.jpg,http://ww3.sinaimg.cn/large/75b52ed2ly1gerz684klwj20dn0knwji.jpg",无,无,2020-05-14 14:44,微博 weibo.com,51,2,19
