微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J93Oet3Fp,【#林郑月娥发声明欢迎香港国安法#】对全国人民代表大会常务委员会（全国人大常委会）今日通过《中华人民共和国香港特别行政区维护国家安全法》（《港区国安法》），行政长官林郑月娥作以下声明：维护国家安全是香港特别行政区的宪制责任，特区政府欢迎全国人大常委会今天通过《港区国安法》，并按《基本法》第十八条在征询全国人大常委会香港特别行政区基本法委员会和香港特区政府的意见后，把该法列入《基本法》附件三。香港特别行政区是中华人民共和国不可分离的部分，是一个享有高度自治的地方行政区域，直辖于中央人民政府。维护国家主权、安全和发展利益是香港特区的宪制责任，亦和香港市民息息相关。鉴于香港特区面临的国家安全风险日见突显，中央从国家层面制定香港特区维护国家安全的法律，以堵塞香港在国家安全方面的漏洞，实有必要性和迫切性。这次立法是完善“一国两制”制度体系的重要一步，也可令香港社会早日回复稳定。全国人民代表大会早前通过的《关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定》明确规定，列入《基本法》附件三的《港区国安法》在香港特别行政区公布实施。《港区国安法》会在今日稍后生效，特区政府会尽快完成所需的刊宪公布程序，让《港区国安法》同步在香港实施。《港区国安法》旨在切实防范、制止和惩治四类严重危害国家安全的罪行：分裂国家、颠覆国家政权、恐怖活动和勾结外国或境外势力危害国家安全的犯罪行为，针对的是极少数违法犯罪的人，保障的是香港绝大多数居民的生命财产以及依法享有的各项基本权利和自由。香港特区政府会按《港区国安法》的规定，尽快设立由行政长官担任主席的维护国家安全委员会。警务处和律政司会设立专职部门，负责履行《港区国安法》的相关法律条文。我对全国人大常委会在草拟法律过程中，听取特区政府和香港社会各界的意见，并结合香港的具体情况，表示衷心感谢，对广大香港市民踊跃表态支持，感到鼓舞。我有信心实施《港区国安法》后，困扰市民近一年的社会动荡可以减退，局面稳定下来，香港可以重新出发，聚焦发展经济，改善民生。http://t.cn/A6yvxPGq 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggaj70a8cnj20j60j6767.jpg,无,无,2020-06-30 19:19,微博 weibo.com,2809,354,245
J93CetdWe,【#北京又有3地降为低风险#，目前34个中高风险地区】国务院客户端小程序“疫情风险等级查询”显示，截至6月30日15时，北京市东城区永定门外街道、房山区长阳镇、门头沟区永定（地区）镇由中风险地区降级为低风险地区。北京市已有30个中风险地区，另有4个高风险地区。  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1ggaidp4eawj20u01je0w7.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaidp1rmnj20u01k90w9.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1ggaidp1s18j20u01km41u.jpg",无,无,2020-06-30 18:49,微博 weibo.com,1270,187,267
J93weEybw,#香港国安法今起施行#【#香港国安法明确四类罪行和处罚#】法律明确规定了香港特别行政区维护国家安全的职责和机构，分裂国家罪、颠覆国家政权罪、恐怖活动罪、勾结外国或者境外势力危害国家安全罪四类罪行和处罚，案件管辖、法律适用和程序，中央人民政府驻香港特别行政区维护国家安全机构等内容，建立起香港特别行政区维护国家安全的法律制度和执行机制。 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggahy3bdmvj20j60j6767.jpg,无,无,2020-06-30 18:34,微博 weibo.com,13797,1241,1015
J93rRuEZG,#香港国安法表决通过#【#港澳办中联办发声明拥护香港国安法#】国务院港澳事务办公室30日发表声明表示，坚决拥护十三届全国人大常委会第二十次会议通过《中华人民共和国香港特别行政区维护国家安全法》，国务院港澳办将全力支持配合做好法律实施相关工作，确保这一法律在香港特别行政区执行到位。中央人民政府驻香港特别行政区联络办公室30日发表声明表示，《中华人民共和国香港特别行政区维护国家安全法》经十三届全国人大常委会第二十次会议审议通过，并列入《中华人民共和国香港特别行政区基本法》附件三在香港特别行政区公布实施，对此我们坚决拥护，并将全力支持特区政府和中央驻港国安机构做好法律实施相关工作。 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1ggahn6vj5zj20j60j6767.jpg,无,无,2020-06-30 18:24,微博 weibo.com,4286,390,288
J93jHwejp,【全票通过！#香港国安法表决通过#】十三届全国人大常委会第二十次会议表决通过香港特别行政区维护国家安全法。  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1ggahcfc2vwj20m80zk4h6.jpg,无,无,2020-06-30 18:04,微博 weibo.com,13651,3280,1091
J93dG8n5n,美方妄图通过所谓制裁阻挠中方推进香港国家安全立法？这种图谋绝不会得逞！一句话告诉美方：#中国不是吓大的#！  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggagmd9a7yj20go0tmtap.jpg,无,无,2020-06-30 17:49,微博 weibo.com,15368,3493,1702
J92YNev6C,【最新：#全球新冠肺炎超1029万#】截至北京时间6月30日16时，全球累计确诊10290779例，累计死亡505510例。其中，#美国新冠肺炎确诊超259万#。转发关注↓↓  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggaot9pte9j20u02dk1ky.jpg,无,无,2020-06-30 17:12,微博 weibo.com,1651,413,385
J92NP4156,【#中国共产党党员总数9191.4万名#】中央组织部最新党内统计数据显示，截至2019年底，中国共产党党员总数为9191.4万名，比上年净增132.0万名。党的基层组织468.1万个，比上年净增7.1万个。#初心不改99如一#  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggaevbklscj20dw096mx3.jpg,无,无,2020-06-30 16:45,微博 weibo.com,8471,1267,1493
J92M3qo4M,【#赵立坚回应印度封杀中国APP#：中方强烈关注】针对印度近日宣布封杀数十款中国APP，外交部发言人赵立坚6月30日回应称：中方对印方有关公告表示强烈关注，正在了解核实情况，中国政府一向要求中国企业在遵守国际规则和当地法律法规的基础上开展对外合作，印度政府有责任根据市场原则维护包括中国企业在内的国际投资者的合法权益。中印两国在务实领域的合作是互利共赢的，这种合作格局受到人为损害，实际上并不符合印方自己的利益。http://t.cn/A6yv7VEe ,,无,无,无,2020-06-30 16:41,微博 weibo.com,11856,403,1325
J92GNtpPD,【警惕！#北京一病例隔离期出现症状未报告后确诊#】6月30日，北京市疾控中心副主任庞星火介绍，近日，#北京隔离人员出现多例发生症状不报告#，部分患者因症状轻微未报告。其中，病例5，男，63岁，新发地市场保洁员。6月13日由专车转运至集中隔离点进行集中医学观察，6月20日出现咳嗽等症状，未报告、未服药，6月27日核酸检测结果为阳性，6月28日由120救护车转运至丰台中西医结合医院就诊，6月29日确诊。提醒：当前疫情防控形势依然严峻，切不能掉以轻心，日常要做好个人防护，关注健康状况，出现不适症状要全程做好防护及时就医。集中隔离、居家隔离人员请严格按照隔离要求，调整心态，坚持做到不外出，每日监测报告体温，出现任何身体不适均要及时报告，按要求就诊；配合做好检验检测和环境消毒。转发提醒！ 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggae9v481zj20j60j6767.jpg,无,无,2020-06-30 16:28,微博 weibo.com,2265,195,433
J92C6qYDY,【#北京新发地市场2名保洁员确诊#】6月30日，北京市疾控中心副主任庞星火介绍，新发地市场两名保洁员确诊，年龄分别为64岁和63岁。 人民日报的微博视频  ,,无,无,无,2020-06-30 16:16,微博云剪,2120,284,277
J92Ad6HxF,#武汉公布各年级开学时间#【#武汉高中非毕业年级7月10日复学#】今天，武汉市新冠肺炎疫情防控指挥部发布通告，公布了各学段复学复课和校外培训机构线下复课的时间安排。一、2020年春季学期，高中阶段（含中职学校和技工学校）非毕业年级7月10日复学，7月31日起放暑假；初中阶段初一、初二年级7月5日结束线上教学，师生休假，8月10日返校复学至8月30日结束；小学及幼儿园7月5日起放暑假。二、2020年秋季学期，全市大中小学和幼儿园按照往年惯例开学。 三、高校非毕业年级学生本学期原则上不安排返校。确有特殊需要的，经本人自愿申请并经学校同意后可以返校。 四、校外合规教育培训机构经属地区疫情防控指挥部评估认定通过后，可以有序线下复课，时间不早于7月10日。据悉，武汉市高三、初三年级已分别于5月6日、5月20日统一开学。（田豆豆 周雯） 原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1ggadt2okp3j20j60j6767.jpg,无,无,2020-06-30 16:11,微博 weibo.com,5778,404,1107
J92w17eql,【唱给青春！#毕业歌2020演唱会精华版#！】一场特殊又难忘的毕业晚会，每首歌都为你而唱。一起听黎明、李克勤、李易峰、李宇春、林俊杰、王源、王力宏、温拿五虎、张杰、周深等歌手对毕业生的深情祝福！#8分钟回顾云毕业演唱会#，转发祝福，未来会更好！#未来你好毕业晚会#  人民日报的微博视频  ,,无,无,无,2020-06-30 16:01,音乐现场 · 视频社区,62796,3011,2095
J92opbLeT,【正在直播：#北京疫情防控情况发布会#】6月29日，#北京新增确诊7例#，近19天累计报告本地确诊病例325例。30日，北京市召开疫情防控新闻发布会，将介绍有关情况，并答记者问。@人民日报 联合@北京日报都视频 正在直播↓↓关注！ 人民日报的微博视频 .  ,,无,无,无,2020-06-30 15:42,微博原生直播,1834,143,122
J92nizVsV,【#外交部回应美国制裁香港#：#外交部说中国不是吓大的#！】据报道，6月29日，美国国务卿蓬佩奥在国务院网站发表声明称，随着中国在香港推进国家安全立法，美将于当日结束美产国防设备(对华)出口，并将对出口香港的国防和军民两用技术施加与中国大陆同样的限制。同日，美商务部亦就此发表声明。中国外交部发言人赵立坚在今天（30日）的例行记者会上表示：关于香港国家安全立法问题，中方已经多次阐明严正立场，这一问题纯属中国内政，任何外国无权干涉。中国政府维护国家主权、安全、发展利益的决心坚定不移，贯彻一国两制方针的决心坚定不移，反对任何外部势力干涉香港事务的决心坚定不移。中国不是吓大的，美方通过所谓制裁阻挠中方推进香港国家安全立法的图谋绝不会得逞。针对美方有关错误行径，中方将采取必要反制措施，坚定维护自身国家利益。http://t.cn/A6yvh5VA ,,无,无,无,2020-06-30 15:40,微博 weibo.com,7427,607,717
J926x32hI,【#蒙古国报告1例初步诊断为鼠疫的病例#】新华社消息，蒙古国国家人畜共患病研究中心6月30日发布消息说，该国出现1例被初步诊断为鼠疫的病例。目前患者已被隔离治疗。据介绍，一名27岁牧民因非法捕食旱獭后身体出现不适，28日被送医治疗，并被初步诊断为鼠疫。目前患者病情危重。有关部门已对其33名密切接触者进行隔离观察，科布多省局部地区已采取戒严措施。 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1ggabpjygvpj20ob0obwgz.jpg,无,无,2020-06-30 14:58,微博 weibo.com,10156,504,1111
J920Ho88T,【加油，北斗！#北斗三号收官之星成功定点#】经过近8天飞行，北斗全球导航系统最后一颗组网卫星于6月30日14时15分成功定点于距离地球3万6千公里的地球同步轨道。目前，卫星天线已展开，有效载荷已开通，卫星在轨工作正常。至此，西安卫星测控中心已圆满完成北斗“收官之星”早期轨道段测控任务，所有30颗北斗三号卫星也已全部转入长期管理模式。（吕炳宏  余建斌） [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/a716fd45ly1ggabamnuybj20u01901l0.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1ggabamvk9pj21900u0u0z.jpg",无,无,2020-06-30 14:44,微博 weibo.com,3655,714,521
J91V00nyU,#初心不改99如一#【#不忘初心#，他们给出动人的答案】她是把青春和生命献给脱贫事业的黄文秀；他是把毕生积蓄捐献给教育事业的“布衣院士”卢永根；她是用一生时间拯救了山区一代人的“奇迹校长”张桂梅…他们来自不同岗位，他们的故事各不相同，但他们都怀揣同样的初心，坚持同一个信仰。转发，致敬！  [组图共10张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1ggaaumo9vlj20k00zkjxc.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaaumq4hfj20k00zkwiw.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaaumofmhj20k00zkn34.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1ggaaump3kxj20k00zkgqe.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaaumomgxj20k00zkdm1.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1ggaaumqy6gj20k00zkagd.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1ggaaumt336j20k00zk43l.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1ggaaumwavwj20k00zkn3r.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaaumvtnrj20k00zkn2x.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1ggaaus4o8aj20k00zkwkj.jpg",无,无,2020-06-30 14:30,微博 weibo.com,3619,1177,372
J91IHzjEF,【#申纪兰临终遗愿#：#申纪兰将共和国勋章经费全部交党费#】近日，第一至第十三届全国人大代表、共和国勋章获得者申纪兰在山西长治逝世。29日，平顺县纪兰文化研究室主任张娟表示，在申纪兰临走之前交代，丧事从简；要把“共和国勋章”的经费拿出来，交了党费。#初心不改99如一#中新视频的秒拍视频  ,,无,无,无,2020-06-30 14:00,微博 weibo.com,9618,729,662
J91xhlxrC,【羡慕！#陕师大送毕业生紫光檀木印章#】正值毕业季，@陕西师范大学 为每一位毕业生精心定制了一枚烙刻着师大印迹的紫光檀木印章。从入学接到毛笔手写录取通知书，到毕业收到专属印章…这个毕业季或许有遗憾，但来自母校的爱总能把学子温暖。#毕业生加油#，记得常“回家”看看！  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/a716fd45ly1gga96pfsvyj20u00min5o.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga96q12n8j20u00ljtxc.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gga96q1t4sj20zk0rrwwv.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gga96q1s0ej20u0190hau.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gga96pw8tdj20zk0smh4f.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gga96q1aeyj20u0190h51.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gga96q7pf4j20zk0npdti.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga96qapu5j20u0190ase.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gga96qcg88j20u016dn9y.jpg",无,无,2020-06-30 13:31,微博 weibo.com,13492,3533,1574
J91t0yPvM,【#港独组织香港民族阵线解散香港本部#】继乱港分子#黄之锋宣布退出港独组织#“香港众志”后，由梁颂恒担任发言人的“港独”组织“香港民族阵线”也在社交平台宣布，即日起遣散包括发言人在内所有香港地区成员。（海外网）http://t.cn/A6LsYC6q  原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gga8w7gvraj20kr0m8hdm.jpg,无,无,2020-06-30 13:21,微博 weibo.com,40484,1172,3295
J91fDmbEp,#初心不改99如一#【#万茜读援鄂医护家书#：17年后，我终于成了你】“老妈别紧张，请给我逆行而上的勇气，我正是当年那个勇往直前的你啊！——2月17日于武汉。”@万茜 带你聆听北大医院国家援鄂医疗队李佳辰写给同为白衣天使的妈妈的家书。#传承99家风久久# 人民日报的微博视频  ,,无,无,无,2020-06-30 12:48,微博 weibo.com,10079,2930,679
J919ant9L,【退税别忘了！#个税年度汇算今日截止#，转发提醒！】2019年度个税综合所得年度汇算清缴将于今日截止。你该退税还是补税？如何使用个税APP退税？#个税年度汇算最后一天#，没办的抓紧！  [组图共10张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1gga7fz7hprj20j611g0y8.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fz7ojej20j60qigph.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gga7fz8dczj20j60xm42y.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fz6tzkj20j60tytbh.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fz6zyrj20j60mv0vm.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gga7fzjfuyj20j66woqm0.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fzsng2j20j67qkqp8.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gga7fzqfaxj20j65c6du5.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fzhzomj20j60sjtde.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga7fzig80j20j60tnq8g.jpg",无,无,2020-06-30 12:32,微博 weibo.com,3273,2325,825
J90Xj0qbn,【#林郑月娥回应美国制裁措施#：香港受到的影响非常小】针对#美国宣布取消香港特殊相关待遇#，香港特别行政区行政长官林郑月娥30日对此回应称，香港因此受到的影响非常小，“有需要的时候我相信国家也会采取反制措施，由中央在外交层面提出的反制措施如果需要香港特区政府配合，我们一定会全面配合。”http://t.cn/A6LsicC7 http://t.cn/A6Lsodlz ,,无,无,无,2020-06-30 12:03,微博 weibo.com,22771,958,1351
J90SlFoa3,【帅！#东风快递硬核版你的答案#】我们都会遇到多种选择，也会得到不同的答案，而对于军人而言答案永远只有一个，那就是：练为战，时刻准备着迎接战斗来临的那一天。感谢每一位军人的付出！#初心不改99如一#东风快递的微博视频  ,,无,无,无,2020-06-30 11:51,微博 weibo.com,14298,1780,1103
J90Annusc,【正在直播：#游江城颂祖国云剧场#】“武汉，你好”云上剧场第五场“游江城 颂祖国”开演。处处红星耀江城，代代英雄开新篇。讲述武汉的红色记忆，演绎不同时期的红色经典，展现武汉的英雄形象。@人民日报 正在直播，与你一起走进革命英雄的故事里↓↓#初心不改99如一# 人民日报的微博视频 .  ,,无,无,无,2020-06-30 11:06,微博原生直播,1734,228,204
J90zGsALh,【提醒！#北京高考生明天打印准考证#】北京教育考试院下发高考通知： ①7月1日，打印准考证；②7月7日-8日，统一高考；③7月9日-10日，学考等级考；④#北京高考成绩7月25日发布#；⑤7月27日-31日，统考考生填报本科志愿、单考考生填报志愿；⑥8月上旬-8月底，录取。#还有一周高考#，加油！  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gga4yg2l44j20l6084js5.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga4yg37azj20gz08gwf6.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gga4yg3gudj20iw091aao.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gga4yg3dncj20jf078755.jpg",无,无,2020-06-30 11:05,微博 weibo.com,9349,645,1004
J90mQqMjK,【人民日报：#兑现向人民向历史作出的庄严承诺#】“中国共产党根基在人民、血脉在人民。党团结带领人民进行革命、建设、改革，根本目的就是为了让人民过上好日子，无论面临多大挑战和压力，无论付出多大牺牲和代价，这一点都始终不渝、毫不动摇。”写在中国共产党成立99周年之际↓↓#初心不改99如一# http://t.cn/A6LsiQLj ,,无,无,无,2020-06-30 10:33,微博 weibo.com,2939,1184,626
J90fCdvAc,【#打骂网约车司机嫌疑人被刑拘#】近日，山西太原，一#五旬网约车司机不会普通话遭辱骂#：这在太原市，滚回县里去。@平安迎泽 通报：经调查，殷某（男，30岁太原市人，无业）酒后乘坐张某某（男，53岁，吕梁市人）的网约车，与张某某发生纠纷并对其辱骂殴打致伤。殷某因涉嫌故意伤害罪已被依法刑事拘留。http://t.cn/A6LkdJhW ,,无,无,无,2020-06-30 10:15,微博 weibo.com,38548,1042,3889
J908p4n53,【#2020年中盘点#：时间无法重启，未来请勇毅前行】2020过去了一半，这条路走得比想象中艰难。一场风暴，打乱了前进的节奏；很多意外，让我们学着告别。时间终将证明，熬过最难的时候，我们都成为了勇敢的人。#2020上半年最后一天# ，转发这段视频↓↓加油，每一个你；加油，未完待续的2020！ http://t.cn/A6LsIbr8 ,,无,无,无,2020-06-30 09:57,微博 weibo.com,42073,16148,4349
J8ZWIxxjo,【#人大师生默哀一分钟#】@中国人民大学 毕业典礼上，师生为抗击疫情而牺牲的烈士和不幸罹难者默哀。 人民日报的微博视频  ,,无,无,无,2020-06-30 09:29,微博 weibo.com,51318,4401,2729
J8ZOI6lVR,【正在直播！#天津大学毕业典礼#】“几番寒暑铸就天大品格，一生岁月践行家国情怀。”在这最特别的毕业季，今天，@天津大学 2020年云毕业典礼举行。让我们跨越山海，相聚云端！#未来你好毕业典礼#直播中，一起围观！  人民日报的微博视频 .  ,,无,无,无,2020-06-30 09:09,微博原生直播,4878,520,422
J8ZIPvASh,【国务院：#化妆品广告不得明示暗示有医疗作用#】近日，#国务院公布化妆品监管条例#，其中规定：化妆品广告的内容应当真实、合法。化妆品广告不得明示或者暗示产品具有医疗作用，不得含有虚假或者引人误解的内容，不得欺骗、误导消费者。李克强签署国务院令 公布《化妆品监督管理条例》  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gga16hdvf3j218z0u0alg.jpg,无,无,2020-06-30 08:54,微博 weibo.com,46150,1514,2223
J8ZAh3xqg,【#北京新增确诊7例#：#北京19天累计确诊325例#】6月29日0时至24时，新增报告本地确诊病例7例、无症状感染者1例，无新增疑似病例，治愈出院病例1例；无新增报告境外输入确诊病例、疑似病例、无症状感染者。6月11日0时至6月29日24时，累计报告本地确诊病例325例，在院324例。尚在观察的无症状感染者27例；无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。新增确诊病例中，丰台区6例、大兴区1例。全市有14个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区158天、怀柔区144天、顺义区142天、密云区139天、石景山区15天、门头沟区14天、房山区14天、东城区13天、通州区9天、朝阳区8天、西城区7天、海淀区4天、昌平区4天。 [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/a716fd45ly1gga0lpskhgj20u01ekk5h.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gga0mbn1q9j20j60zgh64.jpg",无,无,2020-06-30 08:33,微博 weibo.com,1209,433,342
J8Zx1zMge,【#世卫称疫情正在加速传播#，#世卫称未来几个月与病毒共存是新常态#】世卫组织总干事谭德塞在29日的例行记者会上说：“虽然一些国家遏制疫情取得进展，但是在全球范围内，疫情正在加速传播。”谭德塞表示，未来几个月，我们仍然要同病毒共存，这将成为一个新的常态。很多国家已经采取了前所未有防控措施，成功遏制了病毒传播，但是仍未彻底消除病毒。一些国家经济和社会重启之后，出现疫情反弹，病例增加，当前大多数人仍然易感，疫情仍未见底。（张朋辉） 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gga0cfwtmvj20m80cxaw2.jpg,无,无,2020-06-30 08:25,微博 weibo.com,6956,772,558
J8ZvMqGV0,【国家邮政局：#北京10万快递小哥核酸检测全阴#】据国家邮政局，截至6月27日24时，北京市主要品牌寄递企业已按计划完成核酸检测任务，累计检测104807人，已反馈结果全部为阴性。北京快递小哥核酸检测全部阴性 国家邮政局的微博视频  ,,无,无,无,2020-06-30 08:22,微博 weibo.com,2567,364,351
J8ZsxswAr,【#上海新增1例本土确诊#：#上海新增1例本土为境外输入关联#】据@健康上海12320 ，6月29日0—24时，通过口岸联防联控机制，报告境外输入性新冠肺炎确诊病例3例及关联病例1例。病例3为印度籍，在印度生活，为6月21日确诊病例的女儿，6月20日与其母亲自印度出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。病例4为病例3的父亲，印度籍，3月来沪工作，暂住本市，因妻子确诊（6月21日），女儿（即病例3）年幼，作为监护人，在事先被告知个人防护要求并给予防护用品后，于6月21日获准进入隔离点陪同隔离，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gga015iaq7j20ob0obk0y.jpg,无,无,2020-06-30 08:14,微博 weibo.com,3626,323,582
