微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J95zaBqNi,#香港维护国家安全法正式生效#【#香港为何需要国安立法#？请听听这三句回答】①香港再也不能乱下去了；②维护国家安全，香港“不设防”状态必须结束；③涉港国安立法是700多万香港人利之所系。戳图了解↓↓↓有了国家安全，才有安定的生活和发展环境。  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/a716fd45ly1ggaqzgzauaj20m818zk3b.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1ggaqzgxilbj20m810zqee.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1ggaqzgxwfaj20m80y77cv.jpg",无,无,2020-06-30 23:47,微博 weibo.com,11225,1614,847
J95ofkVIy,【#香港维护国家安全法正式生效#】香港特区政府新闻处发布公告，《中华人民共和国香港特别行政区维护国家安全法》6月30日在香港特区刊宪公布，即日晚11时生效。中国加油，香港加油，转起！  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggaq7ngekhj20go0tm7a6.jpg,无,无,2020-06-30 23:20,微博 weibo.com,57548,15409,4230
J95jyhz3o,【来了！#香港维护国家安全法全文公布#】 中华人民共和国香港特别行政区维护国家安全法  ,,无,无,无,2020-06-30 23:09,微博 weibo.com,90406,19770,4611
J9525yZVb,【#人民微评#：谁都没资格嘲笑劳动者】#打骂网约车司机嫌疑人被刑拘#，该！打骂一名父辈年龄的长辈，目无尊长，缺乏伦理之道；嘲弄靠双手创造美好生活的劳动者，实无资格，缺少敬畏之心。每个自力更生者都应该获得尊重，每一种不法行为都应被制止。一个人可以不伟大，但绝不可以猥琐。http://t.cn/A6LkdJhW ,,无,无,无,2020-06-30 22:26,微博 weibo.com,14351,1181,2347
J94R3dJ3J,【夜读：一个家越过越好的3个迹象】余生，愿我们都能明白：小事不争不辩，彼此越理解，感情越和睦；大事有商有量，双方越信任，生活越幸福；往事看轻看淡，家人越包容，家庭越兴旺。 【夜读】一个家越过越好的3个迹象  ,,无,无,无,2020-06-30 21:58,微博 weibo.com,3891,2254,621
J94Fk2YCV,【转发帮找！#寻找溺亡退役军人救人目击证人#】6月26日，深圳。23岁退役军人翁佳浩在深汕合作区百安海滩溺亡。随行同事称翁佳浩为救一名6岁左右的遇险儿童致体力不支，但没有看到救人瞬间。目前，深圳当地政府要为翁佳浩申报“见义勇为”，但缺乏相关证人。翁户籍所在地村主任谢学良为给翁佳浩“正名”，奔忙寻找证据。http://t.cn/A6yvACzu ,,无,无,无,2020-06-30 21:29,正能量 · 视频社区,11539,1867,962
J94uEpgxu,【转扩！#北京19天新增325例都去过哪#？】6月11日以来，北京市累计新增325例本土确诊病例。他们都是谁？去过哪？防控不松懈，重视不恐慌！戳图了解↓↓#北京19天新增325例确诊详情#  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1ggam95r2u6j20jw7mxnmy.jpg,无,无,2020-06-30 21:03,微博 weibo.com,1488,415,241
J94j4Dwqr,#香港国安法表决通过现场掌声雷动#，转发，记住这一刻！  人民日报的微博视频  ,,无,无,无,2020-06-30 20:35,微博视频,21383,3458,1367
J94bamHUB,【用#风沙牌面膜#见证最美芳华，这群女兵真酷！】她们是第77集团军某合成旅便携式导弹排的战士，每天在烈日下训练是她们野外驻训生活的常态。风沙肆虐的戈壁滩，“吃土”是战士们的家常便饭。女兵们却说，我们用的是“风沙牌面膜”！转起，向中国军人致敬！（第一军视）  人民日报的微博视频  ,,无,无,无,2020-06-30 20:15,微博视频,7641,621,530
J93QM3uPm,【今天，#驻港部队陆海空三军联合训练#】今天，驻香港部队组织2020年度第二季度海空联合巡逻，陆海空三军部队依托巡逻任务展开联合搜救、临检拿捕、互为对抗等多项实战化课目演练，全面检验驻香港部队履行防务能力。驻香港部队的微博视频  ,,无,无,无,2020-06-30 19:25,微博 weibo.com,7612,1204,630
